predicted,actual,correct
string,string,string
,
cat,cat,True
not_same,not_same,True
not_same,not_same,True
not_same,same,False
same,same,True
not_same,not_same,True
not_same,same,False
not_same,same,False
same,not_same,False
same,same,True
same,same,True
same,same,True
not_same,not_same,True
same,not_same,False
not_same,same,False
not_same,not_same,True
not_same,same,False
not_same,not_same,True
not_same,not_same,True
not_same,same,False
not_same,not_same,True
same,not_same,False
not_same,same,False
same,not_same,False
not_same,same,False
not_same,not_same,True
same,not_same,False
same,same,True
not_same,same,False
not_same,not_same,True
not_same,same,False
same,same,True
same,same,True
same,same,True
not_same,same,False
not_same,not_same,True
same,not_same,False
same,same,True
same,same,True
not_same,same,False
not_same,same,False
not_same,same,False
same,not_same,False
same,same,True
same,same,True
same,same,True
same,same,True
same,same,True
not_same,same,False
not_same,not_same,True
same,not_same,False
same,same,True
same,same,True
same,same,True
not_same,not_same,True
same,same,True
same,same,True
not_same,not_same,True
not_same,not_same,True
not_same,not_same,True
same,same,True
not_same,not_same,True
same,same,True
same,same,True
not_same,same,False
not_same,same,False
same,same,True
not_same,not_same,True
same,same,True
not_same,same,False
not_same,same,False
same,same,True
not_same,not_same,True
not_same,same,False
not_same,not_same,True
not_same,not_same,True
not_same,not_same,True
not_same,not_same,True
same,not_same,False
same,same,True
not_same,same,False
not_same,not_same,True
not_same,not_same,True
not_same,not_same,True
not_same,same,False
same,not_same,False
not_same,same,False
same,not_same,False
not_same,same,False
same,not_same,False
same,same,True
not_same,same,False
same,not_same,False
not_same,same,False
same,not_same,False
same,same,True
not_same,same,False
same,not_same,False
same,same,True
same,same,True
not_same,same,False
not_same,not_same,True
same,not_same,False
same,same,True
not_same,same,False
not_same,not_same,True
not_same,not_same,True
same,not_same,False
same,same,True
not_same,same,False
same,not_same,False
not_same,same,False
not_same,not_same,True
not_same,not_same,True
not_same,not_same,True
same,not_same,False
not_same,same,False
not_same,not_same,True
same,not_same,False
not_same,same,False
not_same,not_same,True
same,not_same,False
same,same,True
same,same,True
not_same,same,False
same,not_same,False
same,same,True
not_same,same,False
same,not_same,False
