prediction,actual
int,int
,
-1,0
0.0,1
1.0,1
1.0,1
1.0,0
1.0,1
1.0,0
1.0,0
1.0,0
1.0,-1
-1.0,-2
-2.0,-2
-2.0,-1
-2.0,0
0.0,0
0.0,1
0.0,1
0.0,0
0.0,0
0.0,1
0.0,2
0.0,1
0.0,1
0.0,1
1.0,1
1.0,1
1.0,2
1.0,3
1.0,3
3.0,4
2.9999999999999996,3
4.0,4
2.9999999999999996,3
4.0,3
4.0,3
2.9999999999999996,3
2.9999999999999996,4
2.9999999999999996,3
2.9999999999999996,3
2.9999999999999996,4
2.9999999999999996,4
2.9999999999999996,5
-1.0,4
2.9999999999999996,5
4.0,5
4.0,5
5.0,4
5.0,5
5.0,4
5.0,5
4.0,5
4.0,5
5.0,5
5.0,4
4.0,3
3.0,2
2.0,1
1.0,2
2.0,2
2.0,1
1.0,2
2.0,3
3.0,4
4.0,4
4.0,5
5.0,5
5.0,5
5.0,5
5.0,4
4.0,5
4.0,4
4.0,4
5.0,5
4.0,5
4.0,4
5.0,4
5.0,5
4.0,5
4.0,5
5.0,5
5.0,5
5.0,4
5.0,5
5.0,4
5.0,5
4.0,5
4.0,5
5.0,4
5.0,3
3.0,2
2.9999999999999996,2
2.9999999999999996,2
2.0,1
1.0,1
1.0,0
0.0,-1
-1.0,0
0.0,1
0.0,0
1.0,1
1.0,1
1.0,1
1.0,0
1.0,1
1.0,2
1.0,1
1.0,2
1.0,2
1.0,2
2.0,1
2.0,1
2.0,2
2.0,1
2.0,0
1.0,-1
0.0,0
-1.0,0
-1.0,-1
0.0,-1
0.0,-2
-1.0,-2
-1.0,-2
-2.0,-3
5.0,-2
-2.0,-3
-2.0,-4
4.0,-3
-4.0,-4
-2.9999999999999996,-4
-2.9999999999999996,-4
-4.0,-3
-4.0,-3
-4.0,-2
-2.9999999999999996,-2
-2.9999999999999996,-3
-4.0,-2
-2.9999999999999996,-3
-2.0,-4
-4.0,-4
-4.0,-5
5.0,-5
5.0,-5
-5.0,-4
-4.0,-5
-5.0,-5
-5.0,-4
-5.0,-3
-4.0,-2
-2.9999999999999996,-1
-2.0,0
-1.0,1
2.0,2
1.0,3
2.9999999999999996,3
2.9999999999999996,4
5.0,4
5.0,3
4.0,3
4.0,3
2.9999999999999996,3
2.9999999999999996,4
2.9999999999999996,4
2.9999999999999996,4
4.0,5
5.0,5
5.0,5
5.0,4
4.0,3
2.9999999999999996,3
2.9999999999999996,4
4.0,5
5.0,4
4.0,4
4.0,5
4.0,4
5.0,4
5.0,5
4.0,4
5.0,3
2.9999999999999996,2
2.9999999999999996,1
2.0,0
1.0,0
1.0,0
0.0,1
0.0,2
1.0,1
2.0,1
2.0,2
1.0,3
2.9999999999999996,4
5.0,3
4.0,2
1.0,3
4.0,2
2.9999999999999996,2
2.9999999999999996,3
4.0,2
2.9999999999999996,2
2.9999999999999996,2
2.9999999999999996,2
2.0,3
2.0,2
2.0,1
2.0,0
0.0,0
0.0,0
0.0,-1
0.0,-1
0.0,-2
-2.9999999999999996,-3
-2.0,-3
-2.0,-2
-2.9999999999999996,-1
-2.0,0
0.0,0
0.0,-1
0.0,0
0.0,1
0.0,2
2.0,1
2.0,1
2.0,0
0.0,1
0.0,2
1.0,3
2.0,3
2.0,4
2.9999999999999996,3
4.0,4
2.9999999999999996,5
4.0,5
4.0,5
5.0,5
5.0,5
5.0,4
5.0,4
5.0,5
5.0,4
5.0,3
4.0,3
4.0,4
2.9999999999999996,3
4.0,3
4.0,2
2.9999999999999996,2
2.9999999999999996,2
2.0,3
2.9999999999999996,2
2.0,3
2.0,4
2.9999999999999996,5
5.0,5
5.0,4
5.0,3
4.0,2
2.9999999999999996,2
2.9999999999999996,3
2.0,3
2.0,3
2.0,2
2.9999999999999996,3
2.9999999999999996,2
2.9999999999999996,1
1.0,0
1.0,0
1.0,1
2.0,2
2.9999999999999996,2
2.9999999999999996,1
0.0,0
1.0,0
1.0,0
0.0,1
2.0,2
2.0,1
0.0,2
1.0,3
2.9999999999999996,4
2.9999999999999996,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,4
5.0,5
5.0,5
5.0,5
5.0,5
5.0,4
5.0,5
5.0,4
5.0,3
2.0,3
2.0,4
5.0,3
2.9999999999999996,4
2.9999999999999996,3
4.0,2
2.9999999999999996,3
2.9999999999999996,4
2.9999999999999996,3
4.0,4
2.9999999999999996,3
4.0,3
4.0,2
2.9999999999999996,2
2.9999999999999996,2
2.0,1
0.0,0
0.0,0
0.0,0
0.0,-1
0.0,-1
0.0,-2
-1.0,-1
-2.0,-1
-2.0,-1
-1.0,-1
-1.0,0
-1.0,1
2.0,0
1.0,1
0.0,2
2.0,2
2.0,2
2.0,3
2.0,4
2.9999999999999996,3
4.0,3
4.0,4
2.9999999999999996,3
2.9999999999999996,4
2.9999999999999996,3
4.0,3
4.0,2
2.0,1
0.0,1
0.0,1
0.0,1
1.0,2
2.0,2
2.0,1
1.0,2
2.0,3
4.0,4
2.9999999999999996,4
2.9999999999999996,5
4.0,4
5.0,4
5.0,3
2.9999999999999996,2
2.0,2
2.0,3
4.0,3
4.0,3
4.0,4
2.9999999999999996,5
4.0,4
2.9999999999999996,4
2.9999999999999996,5
4.0,5
5.0,5
5.0,4
5.0,5
4.0,5
5.0,4
5.0,4
5.0,5
5.0,5
4.0,5
4.0,5
4.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,5
5.0,4
5.0,5
5.0,4
5.0,3
2.0,2
2.0,3
4.0,4
5.0,3
2.9999999999999996,4
2.9999999999999996,4
5.0,5
4.0,5
5.0,5
5.0,5
5.0,4
2.9999999999999996,4
5.0,5
5.0,5
5.0,5
5.0,4
4.0,3
2.0,3
4.0,2
2.9999999999999996,3
2.0,3
2.0,3
2.9999999999999996,4
4.0,5
5.0,5
5.0,4
2.9999999999999996,4
5.0,5
5.0,4
2.9999999999999996,5
5.0,4
5.0,3
2.9999999999999996,4
5.0,4
5.0,5
4.0,5
5.0,4
4.0,3
4.0,2
2.9999999999999996,2
1.0,3
4.0,3
2.9999999999999996,2
2.0,1
2.0,1
1.0,2
1.0,1
1.0,2
1.0,2
2.9999999999999996,3
2.9999999999999996,2
1.0,1
2.0,0
1.0,0
1.0,1
2.0,2
1.0,1
0.0,1
2.0,2
1.0,2
2.9999999999999996,1
1.0,1
2.0,1
2.0,2
1.0,1
1.0,2
1.0,2
1.0,1
1.0,2
2.0,1
2.0,1
2.0,0
1.0,-1
-1.0,0
-1.0,0
-1.0,0
0.0,0
0.0,-1
0.0,-2
-1.0,-1
-2.0,-1
-2.0,-2
-1.0,-1
-2.0,-1
-2.0,-2
-1.0,-3
-2.0,-4
-2.9999999999999996,-3
-4.0,-3
-4.0,-2
-1.0,-3
-2.0,-3
-2.0,-3
-2.9999999999999996,-3
-2.9999999999999996,-4
-2.9999999999999996,-5
-5.0,-5
-5.0,-4
-5.0,-4
-5.0,-4
-4.0,-3
-2.9999999999999996,-4
-4.0,-4
-4.0,-4
-4.0,-5
-4.0,-4
-4.0,-5
-4.0,-4
-4.0,-5
-4.0,-5
-4.0,-4
-5.0,-5
-4.0,-4
-5.0,-4
-5.0,-5
-4.0,-5
-4.0,-5
-4.0,-4
