activity_person,torso,score
string,float,float
,,
10_5,9.1519,1.0
10_5,8.4972,1.0
10_5,8.23,1.0
10_5,8.3794,0.050000000000000003
10_5,8.8872,0.0
10_5,10.569,0.25
10_5,14.068,1.0
10_5,12.798,1.0
10_5,9.9099,1.0
10_5,8.2448,0.0
10_5,7.8172,0.025000000000000001
10_5,7.4926,0.025000000000000001
10_5,7.5674,0.0
10_5,7.3588,0.0
10_5,7.5048,0.0
10_5,7.9067,0.0
10_5,8.4284,0.025000000000000001
10_5,8.4508,0.025000000000000001
10_5,8.4734,0.025000000000000001
10_5,8.7851,0.025000000000000001
10_5,9.7383,0.125
10_5,13.114,0.84999999999999998
10_5,13.037,0.050000000000000003
10_5,10.177,0.10000000000000001
10_5,8.9672,0.050000000000000003
10_5,8.6146,0.025000000000000001
10_5,7.8501,0.025000000000000001
10_5,6.9878,0.25
10_5,6.5398,0.27500000000000002
10_5,7.366,0.25
10_5,8.0507,0.22500000000000001
10_5,8.5784,0.050000000000000003
10_5,8.6158,0.025000000000000001
10_5,8.5118,0.0
10_5,8.6756,0.0
10_5,9.3165,0.0
10_5,12.971,0.90000000000000002
10_5,13.586,0.074999999999999997
10_5,11.072,0.27500000000000002
10_5,8.8547,0.45000000000000001
10_5,8.0177,0.050000000000000003
10_5,7.6407,0.14999999999999999
10_5,7.3713,0.22500000000000001
10_5,6.9473,0.025000000000000001
10_5,7.2129,0.0
10_5,8.0238,0.0
10_5,8.3969,0.0
10_5,8.4423,0.0
10_5,8.6516,0.0
10_5,8.6962,0.0
10_5,9.2779,0.050000000000000003
10_5,12.596,1.0
10_5,12.234,1.0
10_5,10.774,1.0
10_5,8.9564,1.0
10_5,9.1053,1.0
10_5,8.4914,1.0
10_5,7.7396,1.0
10_5,6.9811,1.0
10_5,7.1449,1.0
10_5,7.748,1.0
10_5,8.3197,1.0
10_5,8.3784,1.0
10_5,8.5517,1.0
10_5,8.8118,1.0
10_5,8.7214,1.0
10_5,9.7616,1.0
10_5,11.948,1.0
10_5,11.584,1.0
10_5,10.4,1.0
10_5,9.0275,1.0
10_5,9.3298,1.0
10_5,8.5969,1.0
10_5,7.9669,1.0
10_5,7.1327,1.0
10_5,6.5061,1.0
10_5,7.2663,1.0
10_5,7.8611,1.0
10_5,8.2558,1.0
10_5,8.0392,0.75
10_5,8.0828,1.0
10_5,8.858,1.0
10_5,9.9776,0.94999999999999996
10_5,12.854,1.0
10_5,12.661,1.0
10_5,9.7783,1.0
10_5,8.8741,1.0
10_5,8.8976,0.375
10_5,8.1111,0.27500000000000002
10_5,6.8763,0.94999999999999996
10_5,6.4362,1.0
10_5,7.0701,1.0
10_5,7.8587,1.0
10_5,8.6475,0.32500000000000001
10_5,8.6766,0.20000000000000001
10_5,8.5199,0.125
10_5,8.8546,0.20000000000000001
10_5,9.5082,0.59999999999999998
10_5,12.495,1.0
10_5,11.759,1.0
10_5,10.077,1.0
10_5,9.4616,1.0
10_5,9.0271,0.074999999999999997
10_5,8.4882,0.20000000000000001
10_5,7.4962,0.52500000000000002
10_5,6.1024,1.0
10_5,5.998,1.0
10_5,6.7802,1.0
10_5,7.8893,1.0
10_5,8.3517,0.125
10_5,8.8365,0.0
10_5,9.6335,0.27500000000000002
10_5,10.707,0.92500000000000004
10_5,13.275,1.0
10_5,12.27,1.0
10_5,9.5297,1.0
10_5,9.385,0.025000000000000001
10_5,8.706,0.050000000000000003
10_5,7.6043,0.45000000000000001
10_5,6.8227,0.94999999999999996
10_5,6.8588,0.67500000000000004
10_5,7.6485,0.5
10_5,7.9538,0.32500000000000001
10_5,8.422,0.0
10_5,8.2869,0.125
10_5,8.1609,0.074999999999999997
10_5,8.4212,0.0
10_5,9.2905,0.29999999999999999
10_5,12.369,0.875
10_5,12.703,1.0
10_5,10.857,1.0
